#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,,,
#Device Name: Discovery2,,,,,,,,,,
#Serial Number: SN:210321A35E99,,,,,,,,,,
#Date Time: 2024-12-02 09:22:30.457,,,,,,,,,,
#Sample rate: 5000Hz,,,,,,,,,,
#Samples: 25000,,,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: -2 V Sample Mode: Average,,,,,,,,,,
,,,,,,,,,,
Time (s),EXP11,EXP12,EXP13,EXP14,EXP15,EXP21,EXP22,EXP23,EXP24,EXP25
-0.5,0.835850324,0.991438079,1.194538653,1.449836409,1.414369093,1.78711051,1.803171181,1.872098229,1.221975633,1.167101672
-0.4998,0.835850324,0.835515727,0.835515727,0.835515727,0.835515727,0.835850324,0.836519519,0.836184921,0.836519519,0.836184921
-0.4996,0.835850324,0.835515727,0.835515727,0.835515727,0.835515727,0.835850324,0.836184921,0.836184921,0.836519519,0.836519519
-0.4994,0.835850324,0.835181129,0.835515727,0.835515727,0.835181129,0.835850324,0.836519519,0.836184921,0.836519519,0.836184921
-0.4992,0.835850324,0.835181129,0.835515727,0.835515727,0.835181129,0.835850324,0.836519519,0.836184921,0.836519519,0.836184921
-0.499,0.835850324,0.835181129,0.835515727,0.835181129,0.835515727,0.835850324,0.836519519,0.836184921,0.836519519,0.836184921
-0.4988,0.835850324,0.835515727,0.835515727,0.835515727,0.835515727,0.835850324,0.836519519,0.836184921,0.836519519,0.836184921
-0.4986,0.835850324,0.835515727,0.835515727,0.835181129,0.835181129,0.835850324,0.836519519,0.836184921,0.836519519,0.836184921
-0.4984,0.835850324,0.835515727,0.835515727,0.835181129,0.835515727,0.835850324,0.836184921,0.836184921,0.836519519,0.836184921
-0.4982,0.835850324,0.835515727,0.835515727,0.835515727,0.835515727,0.835850324,0.836519519,0.836519519,0.836519519,0.836519519
-0.498,0.835850324,0.835515727,0.835515727,0.835515727,0.835515727,0.835850324,0.836519519,0.836519519,0.836519519,0.836184921
